17,92,180,216,225,228,230,237,240,242,248,257,267,273,276,277,281,284,288,288,288,288,288,288,288
15,78,149,179,187,190,192,199,202,204,210,219,229,235,238,239,243,246,250,250,250,250,250,250,250
14,63,106,127,134,136,138,144,147,149,155,163,173,178,181,182,186,189,193,193,193,193,193,193,193
12,52,71,83,89,91,93,98,101,103,109,116,126,131,134,135,139,142,145,145,145,145,145,145,145
12,38,42,48,50,52,54,59,62,63,68,73,82,87,90,91,95,98,101,101,101,101,101,101,101
12,29,18,17,22,24,26,31,34,35,40,45,53,58,60,61,65,68,71,71,71,71,71,71,71
12,25,8,7,11,13,15,20,22,23,28,32,40,44,46,47,51,54,57,57,57,57,57,57,57
11,22,7,6,9,10,12,15,17,18,23,26,33,37,39,40,44,47,50,50,50,50,50,50,50
10,18,3,2,3,4,5,8,10,11,14,16,22,26,27,28,32,35,38,38,38,38,38,38,38
8,15,2,-1,-1,-1,0,3,4,4,7,8,14,17,18,19,23,26,27,27,27,27,27,27,27
8,10,3,-1,-2,-2,-1,1,2,2,5,6,11,13,13,14,17,19,20,20,20,20,20,20,20
7,10,2,0,0,0,1,3,4,4,6,6,11,13,13,13,16,18,19,19,19,19,19,19,19
7,9,2,0,0,0,1,3,3,3,5,4,6,8,8,8,11,13,14,14,14,14,14,14,14
7,9,2,0,0,0,0,1,1,1,1,2,4,6,6,6,9,10,11,11,11,11,11,11,11
7,7,2,0,0,0,0,-1,-1,-1,-1,0,2,4,4,4,7,7,7,7,7,7,7,7,7
7,6,2,0,0,0,0,1,1,1,1,2,4,6,6,6,9,9,8,8,8,8,8,8,8
6,5,2,0,0,0,0,0,0,0,0,0,2,3,1,1,4,4,3,3,3,3,3,3,3
6,5,1,0,0,0,-1,-1,0,0,0,0,1,2,0,0,2,2,1,1,1,1,1,1,1
6,5,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,0,0,0,0,0,0,0
6,5,1,0,0,0,0,0,0,0,1,1,1,1,-1,-1,-1,-2,-3,-3,-3,-3,-3,-3,-3
6,4,1,0,0,0,0,0,0,0,1,0,0,0,-2,-2,-2,-3,-4,-4,-4,-4,-4,-4,-4
6,4,1,0,0,0,0,0,0,0,1,1,0,-1,-3,-3,-4,-5,-7,-7,-7,-7,-7,-7,-7
6,4,1,0,0,0,0,0,0,0,1,0,-1,-2,-4,-4,-5,-7,-9,-9,-9,-9,-9,-9,-9
6,3,1,0,0,0,0,0,0,0,1,-1,-1,-2,-4,-4,-5,-7,-9,-9,-9,-9,-9,-9,-9
5,3,0,0,0,0,0,0,0,0,1,-1,0,-2,-3,-3,-5,-6,-8,-8,-8,-8,-8,-8,-8
